afm,afm_bias,afm_min,afm_rely,fc,mbfc,mbfc_bias,mbfc_fact,mbfc_min,lewandowsky_acc,lewandowsky_trans,lewandowsky_rely,lewandowsky_mean,lewandowsky_min,misinfome_bin,pc1,domain
0.7880861761657727,0.7331183633839141,0.737643075297151,0.8437238123822032,0.4644455981142041,0.6994812562531095,1.0411578050045045,0.7548646709592911,0.7638931552928637,0.7475277909476562,0.6140159108367064,0.9970835659152824,0.566412444095662,0.5961680244120385,1.0,0.7604671607404299,0372.ua
0.5057112766696807,0.4931582601978161,0.49143065436698447,0.5589893449840664,0.02380371143656535,0.6571104146088778,0.7523329989323643,0.5948943646886248,0.6553986556748641,0.0,0.0,0.0,0.0,0.0,1.0,0.40651580408389976,0585news.com
0.44486337460553,0.5321641882985121,0.48992771740914154,0.5087723765153357,0.03346789401925287,0.73194223937662,0.8078276457166541,0.5895001810355679,0.6478302829690745,0.7474935211132303,0.6174514902978075,0.9971066767665704,0.5664097757917423,0.5927369617219345,1.0,0.5487135665122107,100fedup.com
0.6291461483011529,0.6212591239270656,0.5722327359046693,0.6304063184262738,0.05819470946786535,0.7136425334907617,0.7142055349913586,0.5668373076853809,0.6479139434303244,0.0,0.0,0.0,0.0,0.0,1.0,0.4485177329360912,100giornidaleoni.it
0.7264431707975147,0.6874431823573633,0.6729034483105145,0.7685466030486026,0.46087309326534165,0.834704364032658,0.7236882585713894,0.738047636412595,0.6737463489689666,0.49910227346082947,0.8839204884476378,0.9970835659152824,0.8049274048065967,0.6581688719160202,1.0,0.7378631362478867,100milefreepress.net
0.35637861125290776,0.37338325005808615,0.37885698033086107,0.3819946537270447,0.046620762045769974,0.4167,0.5,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.21498076182449333,100percentfedup.com
0.5519135655753198,0.6200740231812054,0.5507265349501936,0.580687944443298,0.06327598115970198,0.7289093124442233,0.8084156227920096,0.5679078735348179,0.6478302829690745,0.4991037025263506,0.5048567130815756,0.9968454938719538,0.39697496311628905,0.2774197152521604,1.0,0.5411249365730495,100percentfedup.net
0.47482250336417126,0.5743959029875885,0.5066309188226287,0.5220543689657571,0.04244669637044109,0.7299693195020106,0.8084156227920096,0.5970089300531891,0.6478302829690745,0.4991037025263506,0.5048567130815756,0.9978220899889577,0.49937050455632565,0.4987925159024347,1.0,0.5352978887332358,100percentfedup.us
0.41906774357180376,0.519740253816753,0.47333483605125204,0.4820093185985406,0.031982296473458446,0.8113398841397913,0.8704828758442179,0.6622201490089958,0.6612356715282866,0.24949154809559473,0.5048567130815756,0.9938272109873852,0.3752449225123417,0.24655190784440453,1.0,0.504491473937328,100percentfedupnews.us
0.9018971685115763,0.8754365098832877,0.8509004573299015,0.8765516302225869,0.7076521657191531,0.8424656964370998,0.9972521596983663,0.8378729585187427,0.8317758807736029,1.0,1.0,1.0,1.0,1.0,1.0,0.9172978595412874,1010wins.radio.com
0.7839403715038382,0.7670328536857175,0.7504543456238973,0.8086523914036345,0.6503348744224444,0.7515154864341511,0.7960518556641337,0.662143200509478,0.6528515650786306,0.2496669825467988,0.5066754645563155,0.9972431096735083,0.37512567815829,0.24584489573321397,1.0,0.6932828387356695,1011now.com
0.821411342759798,0.8046514743989887,0.797736986165768,0.8700798204163936,0.7429029508076298,0.7920926164174444,0.8300007418247026,0.8003095259866948,0.6638480968991068,0.7475277909476562,0.9964970898218221,0.9970835659152824,0.8719706278468952,0.746785460867372,1.0,0.8264845247217945,1015thehawk.com
0.7532308837309863,0.7586882992084737,0.7401029941978527,0.7992499451556148,0.5927751521273359,0.7833858597650287,0.6022081757259321,0.6768124162554089,0.6727572278650813,0.2508389011722183,0.5066754645563155,0.9947126826140014,0.37514975845720827,0.2502189355956506,1.0,0.677198605493042,10news.com
0.5583448248074112,0.5856226250447822,0.5525725280083661,0.5897291398644338,0.10018327195072767,0.4167,0.5,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3138067827329283,10news.one
0.9041288738203387,0.9023913781421347,0.8749018617402501,0.8814782220983427,0.6835984381382979,0.9167,1.0,0.8333,0.8333,1.0,1.0,1.0,1.0,1.0,1.0,0.9284271117471463,10tv.com
0.8439116222260166,0.88807864975273,0.8063014038477637,0.8086142236407307,0.7506177004363075,0.7019408000843097,0.7960518556641337,0.6665160761577997,0.6611184856818412,0.2496669825467988,0.5014585794280287,0.997481311268466,0.47771122901629326,0.46958581779665914,1.0,0.735435784541211,11alive.com
0.5245011444444685,0.5062279694583571,0.48293501192419164,0.5476137805798623,0.05421068802447967,0.3333,0.5044415499421444,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.27828600463957914,12minutos.com
0.8231066199092277,0.7886092465232624,0.7412043188493239,0.8377503690731142,0.5201344504397517,0.9167,1.0,0.8333,0.8333,1.0,1.0,1.0,1.0,1.0,1.0,0.8824254950701149,12news.com
0.8628077110190241,0.8381218732102906,0.8275415865549239,0.8852847248695986,0.7033197755585423,0.9167,1.0,0.8333,0.8333,0.49910227346082947,0.5066754645563155,0.9932148741791129,0.39684284061311204,0.28038129501797315,1.0,0.805047248128633,12newsnow.com
0.774678691360152,0.7427880162733371,0.6885526095151991,0.7654869992847971,0.5108482729498449,0.7025549388722419,0.9056358319578303,0.7807324421986983,0.7626635624413586,0.2496669825467988,0.5014585794280287,0.9939588302675004,0.3751498378730102,0.2456960739761967,1.0,0.6920659650309134,12onyourside.com
0.7553745777603532,0.7489144021992878,0.72811202016588,0.8012202451132123,0.5807802113349703,0.5198517404183036,0.5076984594547244,0.5247875811165812,0.5007675513463056,0.49910227346082947,0.5014585794280287,0.9985963943785335,0.39678713960071116,0.27703183244419527,1.0,0.6158163019775945,12thmanrising.com
0.6903591557845744,0.6367578090568453,0.6323979065845892,0.7191704049022306,0.3395608596746653,0.6963735908811514,0.8307550528362685,0.7402531958411325,0.6736343795698191,0.2496669825467988,0.4996398279532889,0.9939532634696675,0.3751760558523282,0.2431015903326391,1.0,0.6294276402892731,12up.com
0.8106490322473273,0.797260967909469,0.7389922269973195,0.7989229292126122,0.4908902239430848,0.9167,1.0,0.8333,0.8333,0.2496669825467988,0.5066754645563155,0.9977142702436924,0.47765503240414253,0.47239658240221494,1.0,0.7667546431480563,13abc.com
0.8136677668500545,0.7890336600401132,0.7385851153144248,0.7749445321356002,0.4908902239430848,0.9167,1.0,0.8333,0.8333,0.2496669825467988,0.5066754645563155,0.993845578507523,0.37512567815829,0.2510237817519407,1.0,0.7472895961252911,13newsnow.com
0.8224899406386061,0.8058868125981902,0.7952453067610141,0.8659754215888292,0.7953885516181278,0.7004532318374027,0.8341971255552963,0.6575081153642713,0.6611184856818412,0.7475277909476562,0.6140533566442609,0.9970872508032291,0.5664124427458919,0.5956110065711429,1.0,0.7698194674026071,13wham.com
0.6662803858356284,0.6363112963117245,0.6228703945690302,0.7174770969551548,0.37672394517366764,0.6727821093535693,0.6736144829156869,0.691042987726675,0.66264276012923,0.24957711430147053,0.4996398279532889,0.9976428133922547,0.47771122901629326,0.4696532770016401,1.0,0.6324430532602547,13wmaz.com
0.8832178567354961,0.8500895110241847,0.8149297834297914,0.8622447040166329,0.7288812387608923,0.7008075198386511,0.9056358319578303,0.7718779914949929,0.7619743942783032,0.2496669825467988,0.5014585794280287,0.9939532855003419,0.37517836279538025,0.24581722248591412,1.0,0.751124827001124,14news.com
0.532852734014163,0.5445325190920811,0.5047307427007868,0.5650359193990696,0.015652321573023768,0.6573965980275742,0.7523329989323643,0.5948943646886248,0.6553986556748641,0.0,0.0,0.0,0.0,0.0,1.0,0.41978437199815494,16wmpo.com
0.7759087850361207,0.7595678024839709,0.7150387126591435,0.8077390458300615,0.5659830723917888,0.7510689924382284,0.7960518556641337,0.6601223238297045,0.6534417637413303,0.2496669825467988,0.5066754645563155,0.9976428133922547,0.47765503240414253,0.47239658240221494,1.0,0.6945251506671812,18000.com.ua
